Price_Real_Sugar_Brasil,Price_Real_Ethanol_Brasil,Price_Real_Ethanol_USA,Price_Real_Sugar_CHINA,Price_Real_Raizen
120.49,3117.0,11.439837974683543,4435.724694663967,7.24
120.57,3164.0,11.581153552977046,4552.273923460637,7.1
119.58,3189.5,11.653065215542897,4605.614122588266,7.07
121.72,3195.5,11.641837570380483,4556.823586706153,7.1
122.59,3214.0,11.577987711213519,4562.003908100427,6.87
125.52,3216.5,11.625705057373567,4589.488948935556,7.01
129.38,3232.5,11.719118246687055,4672.767585220938,7.02
129.77,3228.5,11.709382170476758,4641.606290331043,6.82
130.95,3225.5,11.72454661775996,4627.828880172687,6.81
133.91,3222.0,12.08358755129959,4735.585196505976,6.93
133.41,3220.0,12.101862736697798,4701.992406465051,6.98
134.43,3215.0,11.90251920122888,4624.106040268457,7.17
135.21,3225.5,11.852795570698467,4613.57614213198,7.25
135.69,3253.0,11.672592024539878,4533.615262195683,7.34
136.31,3264.0,11.603919435710036,4498.964147604378,7.1
137.18,3275.0,11.644948558796022,4499.277432902421,7.19
136.34,3291.5,11.574813998813662,4489.7384180124955,7.11
137.36,3282.0,11.515710664187935,4464.36338193945,7.1
137.03,3296.5,11.438344757552677,4402.664660237369,7.07
137.83,3292.5,11.512103663683943,4454.83303922722,6.8
138.01,3297.0,11.458842654986524,4456.145163607865,7.0
139.59,3305.5,11.435149025638287,4507.938990484396,6.93
139.78,3305.0,11.41145539629005,4499.846067562279,6.73
139.97,3304.5,11.517005665003804,4549.496438671835,6.53
140.65,3303.5,11.683788646730866,4613.178712599147,6.41
140.09,3303.0,11.450827801705936,4497.204176942856,6.5
142.17,3317.5,11.533916893039049,4510.848144203842,6.95
142.61,3316.5,11.542755713560181,4521.666736687323,7.19
141.34,3339.5,11.56864453653586,4540.732321970841,7.24
142.63,3335.0,11.55959168579444,4569.915041727643,7.12
140.51,3350.5,11.623096179966044,4574.360541265583,7.24
144.34,3351.0,11.777513875843225,4549.369484113334,7.11
143.54,3350.5,11.74816672346226,4524.378426961083,7.28
143.81,3346.0,11.597804757438825,4499.387369808834,7.31
145.46,3362.5,11.640300128040971,4508.940153087529,7.23
141.71,3355.0,11.738776687430668,4530.814347717109,7.0
143.72,3352.5,11.732493503162935,4510.488275205333,7.15
144.44,3368.5,11.929290460695324,4615.76434716901,6.94
144.47,3386.5,11.97203758366226,4613.797258019563,6.85
142.5,3365.5,11.937699024095345,4619.064491562787,7.1
143.09,3367.0,11.95128551724138,4637.82392301752,7.37
142.34,3383.0,11.869358284633895,4656.583354472254,7.02
142.86,3395.5,12.00439079469057,4675.342785926987,7.13
143.38,3417.0,12.158195113498527,4694.102217381721,6.99
143.72,3419.0,12.098223490745546,4712.861648836454,7.13
144.81,3430.0,12.140121531679487,4731.621080291187,7.14
144.67,3431.5,12.150322533264212,4761.596136327099,7.03
146.18,3447.25,12.219579316313284,4823.901170124258,7.04
147.69,3463.0,12.181067116415846,4820.192314921726,7.05
149.85,3487.0,12.084666092053096,4796.732750425131,7.15
150.24,3516.5,12.105020255128426,4789.053011531816,7.1
149.41,3540.0,12.105976990692863,4802.593644879853,6.98
146.62,3574.5,12.271715315315316,4873.678556080791,6.69
147.5,3625.5,12.310058504688977,4854.702699792737,6.64
148.18,3661.5,12.49666099510183,4958.956367591959,6.43
148.76,3693.5,12.582366981943249,4965.419212505212,6.37
149.44,3814.0,12.440647677324828,4883.629791481212,6.63
148.7,3881.0,12.275463935272851,4831.418164157358,6.58
149.31,3924.0,12.25562279418094,4890.80662537032,6.63
151.87,3920.5,12.335822134046406,4906.4375682562795,6.78
152.88,3947.0,12.451308372692141,4911.826898292343,6.78
153.04,3953.5,12.471513387458973,4911.564804190234,6.79
152.32999999999998,3956.5,12.536132810480046,4944.8671183609695,6.845000000000001
151.62,3959.5,12.51669036102954,4937.001025890229,6.9
151.9,3937.5,12.36808980897225,4876.737155833097,6.75
153.85,3935.5,12.299153659171804,4929.621346059981,6.75
153.43,3911.5,12.326149322048536,4870.611130617977,6.77
152.1,3901.5,12.171575451325904,4827.20563867602,6.73
151.96,3900.0,12.023166205225818,4739.466060162998,6.5
155.73,3861.5,11.933762578616351,4709.999260749928,6.52
155.125,3853.5,12.045159559594547,5220.939425473068,6.27
154.52,3845.5,12.005318965517239,5175.091412284687,6.02
154.57,3809.5,12.097542948038175,5218.706055147568,5.85
155.2,3778.0,12.224387219039222,5317.353070326848,5.84
155.43,3715.5,12.273512554343002,5298.8257181334775,5.93
154.44,3683.0,12.336930395460188,5295.699590135463,5.63
153.48,3609.5,12.40773478994582,5318.605145740377,5.67
153.47,3603.5,12.349628324112082,5257.2362430167595,5.57
153.83,3588.5,12.35992628675713,5226.36782186506,6.08
154.05,3586.5,12.37022424940218,5228.73284453007,5.91
153.56,3589.5,12.366715856686767,5191.474459042804,5.79
154.26,3568.5,12.384294112470297,5204.360218247117,5.46
154.79,3551.5,12.386431500795474,5153.677957399569,5.49
155.81,3527.0,12.444178939941795,5156.576137322434,5.69
155.25,3424.5,12.448605880790009,5136.748092027525,6.02
155.13,3385.5,12.147596349782937,5179.2537437835135,5.83
155.57,3374.0,12.022903251599148,5152.149921167557,5.92
155.51,3358.0,11.981498362686965,5146.536123581407,5.98
153.36,3385.5,11.84938254796216,5078.215076129461,5.92
155.35,3470.0,11.928186906768385,5052.134931907427,6.16
155.07,3440.5,11.973490867175032,5090.273764576396,6.22
153.33,3434.5,12.041387478999027,5094.758171660459,6.17
154.46,3432.5,12.211374356242228,5146.273339749759,6.2
157.43,3425.0,12.13618436838391,5074.751949905102,6.11
154.46,3407.0,12.193537157987645,5132.711465514854,5.93
153.03,3403.5,12.173867027410626,5081.629225675412,5.82
154.97,3408.0,12.217131562638336,5053.500118112972,5.75
155.23,3408.5,12.21877639146978,5092.170502368088,5.67
156.26,3411.0,12.09549557913351,5069.246003108694,5.72
156.26,3409.0,12.107839241122626,5096.323018428064,5.82
156.26,3407.0,12.120182903111742,5087.205903977138,5.92
155.37,3408.0,12.066666401906275,5074.394919552655,6.05
154.83,3394.0,12.066874988940988,5054.040947856766,6.01
154.83,3396.0,12.016901182283394,5011.894226775578,6.45
154.825,3404.75,11.90595417623168,4996.544637024476,6.359999999999999
154.82,3413.5,11.957978247468077,5048.315308334828,6.27
151.02,3418.5,12.158864970298785,5100.0859796451805,6.33
153.24,3416.5,12.110610654651472,5091.67272878605,5.79
153.12,3411.0,12.297587273530715,5061.718037873856,5.56
152.93,3412.0,12.301370154009563,5037.790813211213,5.82
151.34,3406.5,12.208255875596397,5019.750166370896,5.7
152.38,3412.5,12.173817925194072,5018.002214379628,5.9
152.28,3410.0,12.055345646437996,5010.603489962558,6.13
152.96,3404.0,11.968845851871238,4998.646112490228,6.11
153.13,3394.5,11.955950030575696,4999.845712792872,6.19
150.53,3391.5,11.9444358228888,4982.861688903622,6.18
150.84,3371.0,11.9329216152019,5024.664404808065,6.18
151.46,3365.5,11.929406787130894,5052.380345263391,6.37
152.05,3311.0,11.739403774916212,4990.602007339857,6.44
151.58,3295.0,11.81318998942545,4992.920301337113,6.23
151.66,3256.5,11.828216560509555,4998.255015167825,6.15
148.34,3234.0,11.894376996805113,4992.628264984228,6.2
150.15,3230.0,11.700047885075818,4895.767831343891,6.22
150.5,3184.0,11.64367741935484,4811.128424874404,6.25
149.02,3131.0,11.664349075237928,4807.040391210467,6.38
147.04,3117.0,11.622875582646111,4791.521597772884,6.42
147.87,3053.5,11.427666074600356,4776.002804335301,6.4
146.53,2958.5,11.384113750772762,4760.484010897719,6.39
144.81,2901.5,11.453205741626796,4744.965217460136,6.46
146.33,2859.0,11.461339846475925,4729.446424022553,6.38
146.67,2854.5,11.423828077225473,4713.927630584971,6.27
145.49,2885.0,11.400021037868163,4694.1401921912,6.33
147.33,2926.0,11.371025797988633,4700.241042345277,6.35
145.07,2938.5,11.266970889063732,4683.38252523308,6.43
148.61,2930.5,11.212059209950077,4678.056115980376,6.35
148.52,2958.5,11.255249204665962,4664.773551857876,6.42
149.08,2971.5,11.228763331864258,4658.731467715266,6.42
145.49,2971.0,11.161836088638763,4631.041594430036,6.43
148.23,2972.0,11.112506596306067,4601.022203719122,6.29
145.64,2944.0,11.116751805531091,4604.684507238307,6.11
144.79,2930.0,11.050454901178522,4576.949784911807,5.77
142.39,2923.5,10.984157996825955,4546.108999456605,5.65
139.34,2920.0,10.816755994358251,4514.107354644267,5.66
136.21,2951.5,11.004912657887665,4603.828699310207,5.77
132.42,2954.0,11.050356633380886,4628.281752979048,5.71
132.60999999999999,2954.1666666666665,11.153538708813288,4631.477005801613,5.803333333333334
132.8,2954.3333333333335,11.14600250851102,4614.412165422497,5.8966666666666665
132.99,2954.5,11.146774716369531,4655.103473835759,5.99
132.99,2971.5,10.928905742145181,4622.846076918681,6.16
135.3,3027.0,10.932023057919299,4618.693564033881,6.21
134.79,3083.0,10.91697108765489,4669.399384132702,6.18
134.37,3153.5,10.975703268453913,4683.958404185742,6.3
136.52,3232.0,10.846371327208224,4649.49246983615,6.42
136.98,3362.0,10.904843016961385,4624.364072334898,6.42
136.69,3396.5,10.824960873521384,4593.902546206539,6.31
135.89,3432.0,10.89578102189781,4552.0693452637015,6.3
136.51,3429.5,11.081029933582021,4690.641427899082,6.37
137.67,3355.5,11.105119155903223,4669.703138204162,6.34
138.24,3354.0,11.011875848339518,4633.902017783857,6.64
136.62,3351.0,10.945988372093025,4608.108409133099,6.99
139.33,3337.0,10.766733103823158,4537.1578857338345,6.88
139.36,3337.0,10.601124818577649,4482.7146156807385,7.1
139.29,3342.5,10.599042330450615,4457.587060554547,7.11
139.37,3372.5,10.439344142831116,4403.397938026397,7.15
140.0,3435.5,10.333524813670243,4359.163112260202,7.27
140.0,3483.0,10.268765274484773,4364.689201568807,7.37
140.58,3500.0,10.217179972936401,4337.417774627924,7.34
140.82,3495.0,10.2521373359698,4338.018849234427,7.33
142.86,3480.0,10.314335645437348,4377.573768163289,7.03
143.65,3473.0,10.199609120521174,4308.733199641592,6.92
143.65,3487.5,10.041791912766925,4306.043511167625,7.0
143.23,3523.5,9.921546175585743,4303.353822693657,7.1
142.41,3611.5,10.084350453172204,4300.66413421969,7.13
142.47,3722.0,10.182631000366436,4347.3652229005875,7.03
141.76,3815.0,10.258657582174754,4410.8446791579245,6.95
143.44,3906.0,10.215412844036697,4417.8286866940425,6.9
142.26,3917.0,10.131575361384773,4371.529530773566,6.98
141.49,3994.5,10.065568076852024,4343.184772044851,7.08
141.49,3994.0,10.171737451737451,4396.922965954992,7.1
142.48,3977.5,10.171737451737451,4399.139901904213,7.13
140.99,3939.0,10.049408497639543,4342.338308601901,6.95
139.57,3910.0,10.06823268698061,4296.641962331529,6.97
139.57,3895.25,9.984370349958667,4240.005524861878,6.925
139.57,3880.5,10.169192937043542,4286.554057896832,6.88
139.48,3788.5,10.442814070351758,4319.453805505838,7.05
137.12,3673.0,10.621922428330523,4367.59010266764,7.02
136.94,3558.5,10.82653311915336,4435.389898669588,7.11
135.46,3495.0,10.80824034334764,4376.80950116026,7.19
135.43,3458.0,10.576212523719166,4297.879696432943,6.9
135.11,3440.0,10.771265678449259,4302.9702206833945,6.59
132.69,3417.0,10.874278135657446,4308.060744933846,6.2
134.21,3397.0,10.747697274712754,4313.151269184296,6.05
133.43,3399.5,10.667554882664648,4318.241793434748,5.55
134.38,3424.0,10.868049195837276,4360.63488213769,5.56
133.32,3458.0,11.112165924803486,4431.599229749175,5.19
132.83,3462.5,11.099215463331438,4397.127228148293,5.2
132.78,3477.5,11.023921159859757,4382.078794803437,5.21
131.21,3453.0,11.240176787086858,4415.41133949159,5.38
131.96,3447.0,11.066022147327878,4354.378398309532,5.17
131.0,3449.0,10.946943005181348,4336.790156245585,5.48
130.51,3445.5,10.782787211839485,4358.920901564197,5.62
129.86,3443.5,10.668425353986507,4297.968297356704,5.56
129.32,3434.0,10.69102517814727,4330.898659683504,5.67
130.58,3418.5,10.617021839841165,4363.696324924262,5.54
131.97,3402.0,10.461176470588235,4331.66880733945,5.64
131.8,3373.0,10.435902985074627,4316.022925443323,5.79
131.88,3331.5,10.487027027027029,4329.102307455071,5.92
130.79,3270.0,10.447841450874076,4294.5087470843055,6.18
130.02,3239.5,10.265942921096812,4253.736743188874,6.07
130.68,3206.5,10.270860007174,4234.669268836691,6.29
130.92,3172.5,10.275777093251191,4304.780188230021,6.13
130.64,3166.5,10.212412247946231,4260.472885759786,6.19
128.55,3165.5,10.370707070707072,4344.948353188507,6.3
129.84,3176.5,10.395981360671017,4332.594573095384,6.19
129.96,3205.5,10.267551743427187,4320.24079300226,5.96
129.28,3206.0,10.383882948790097,4355.744188007759,5.64
129.39,3185.0,10.548982214358878,4384.404081632653,5.52
128.79,3184.5,10.55691706227311,4390.2635453556795,5.41
127.19,3157.0,10.560680657969371,4406.407461759892,5.32
127.32,3112.5,10.905365853658536,4472.568361870687,5.13
126.71,3095.5,11.020918484500577,4501.577403183891,5.01
127.1,3080.5,11.008938740293358,4520.378958193479,5.12
126.895,3100.0,10.9161,4452.660257144494,5.1
126.69,3119.5,11.087148579057791,4512.127439267224,5.08
126.33,3170.5,11.114531635500459,4531.162112984392,5.08
127.02,3164.0,11.141914691943128,4524.990662139219,5.04
126.17,3131.5,11.158049615055603,4516.253795818934,4.99
126.75,3114.5,11.221995616125037,4539.88233120639,4.79
127.14,3134.5,11.257901938426455,4545.882275319958,4.78
127.33,3125.5,11.328354143019297,4583.855803893295,4.8
128.02,3096.0,11.328914163836357,4569.992002825857,4.82
127.94,3043.5,11.329474184653417,4585.813318746271,4.8
127.06,3001.5,11.277042456917302,4547.123147190625,4.59
126.83,2979.0,11.419925179856117,4593.477758694718,4.52
127.64,2952.5,11.497356175933891,4569.84344856167,4.54
126.65,2951.5,11.574787172011664,4628.300482405945,4.53
126.45,2974.5,11.698001375650978,4623.064446689803,4.39
126.78,3031.0,11.666333988212182,4617.508280814891,4.55
125.98,3055.0,11.550250910164323,4604.899772376826,4.4
126.6,3055.5,11.480855614973263,4576.135294204417,4.16
126.28,3043.5,11.617151961760607,4615.538523060517,4.02
127.11,3037.5,11.700733088308336,4644.670033371725,4.14
127.51,3030.5,11.784683658170916,4674.902037918897,4.29
127.72,3005.0,11.688780196838652,4609.941215430582,4.42
